Core,Lat,Lon,Ocean_depth,d13C,lower,count,regions
GeoB3004,14.61,52.92,1803.0,-0.16,3.0,1.0,I
GeoB3004,14.61,52.92,1803.0,-0.19,4.0,1.0,I
GeoB3004,14.61,52.92,1803.0,-0.125,5.0,,I
GeoB3004,14.61,52.92,1803.0,-0.06,6.0,1.0,I
M5-3A-422,24.39,58.04,2732.0,0.0375,2.0,4.0,I
M5-3A-422,24.39,58.04,2732.0,0.11333333333333334,3.0,3.0,I
M5-3A-422,24.39,58.04,2732.0,0.04666666666666666,4.0,3.0,I
M5-3A-422,24.39,58.04,2732.0,0.0,5.0,1.0,I
M5-3A-422,24.39,58.04,2732.0,-0.05,6.0,1.0,I
M5-3A-422,24.39,58.04,2732.0,0.05,7.0,1.0,I
MD01-2378,-13.08,121.79,1783.0,0.565,2.0,4.0,I
MD01-2378,-13.08,121.79,1783.0,0.61,3.0,3.0,I
MD01-2378,-13.08,121.79,1783.0,0.52,4.0,2.0,I
MD01-2378,-13.08,121.79,1783.0,0.355,5.0,2.0,I
MD01-2378,-13.08,121.79,1783.0,0.39,6.0,1.0,I
MD01-2378,-13.08,121.79,1783.0,0.44,7.0,1.0,I
MD79-254,-17.53,38.4,1934.0,0.71,4.0,1.0,I
MD79-254,-17.53,38.4,1934.0,0.62,5.0,1.0,I
MD88-770,-46.02,96.46,3290.0,0.17,5.0,1.0,I
MD88-770,-46.02,96.46,3290.0,0.015000000000000001,6.0,2.0,I
ODP758,5.38,90.36,2935.0,0.41500000000000004,6.0,2.0,I
RC11-120,-43.52,79.87,3193.0,0.44999999999999996,4.0,2.0,I
