Core,Lat,Lon,Ocean_depth,lower,d13C,count,regions
GIK17940-2,20.12,117.38,1727.0,2.0,0.255,2.0,NP
GIK17940-2,20.12,117.38,1727.0,3.0,0.34,1.0,NP
GIK17940-2,20.12,117.38,1727.0,4.0,0.22,2.0,NP
GIK17940-2,20.12,117.38,1727.0,5.0,0.3,1.0,NP
GIK17940-2,20.12,117.38,1727.0,6.0,0.1925,,NP
GIK17940-2,20.12,117.38,1727.0,7.0,0.08499999999999999,2.0,NP
GIK17964-2,6.16,112.21,1556.0,2.0,0.11,1.0,NP
GIK17964-2,6.16,112.21,1556.0,3.0,-0.18,1.0,NP
GIK17964-2,6.16,112.21,1556.0,4.0,-0.2,1.0,NP
GIK17964-2,6.16,112.21,1556.0,5.0,-0.37,1.0,NP
GIK17964-2,6.16,112.21,1556.0,6.0,-0.25,1.0,NP
H214,-36.92,177.43,2045.0,3.0,0.355,2.0,SP
H214,-36.92,177.43,2045.0,4.0,0.3,2.0,SP
H214,-36.92,177.43,2045.0,5.0,0.53,1.0,SP
H214,-36.92,177.43,2045.0,6.0,0.51,2.0,SP
MD02-2489,54.39,-148.92,3640.0,7.0,-0.10500000000000001,2.0,NP
MD06-3018,-23.003,166.15,2470.0,3.0,0.5387,1.0,SP
MD06-3018,-23.003,166.15,2470.0,4.0,0.6388499999999999,,SP
MD06-3018,-23.003,166.15,2470.0,5.0,0.739,1.0,SP
MD97-2120,-45.53,174.93000000000004,1210.0,2.0,0.9756763298333332,6.0,SP
MD97-2120,-45.53,174.93000000000004,1210.0,3.0,0.9648865608571429,7.0,SP
MD97-2120,-45.53,174.93000000000004,1210.0,4.0,0.975621732,8.0,SP
MD97-2120,-45.53,174.93000000000004,1210.0,5.0,0.9610410902222222,9.0,SP
MD97-2120,-45.53,174.93000000000004,1210.0,6.0,0.8007456584999999,8.0,SP
MD97-2120,-45.53,174.93000000000004,1210.0,7.0,0.7452648352222222,9.0,SP
RS147-07,-45.15,146.28,3300.0,3.0,0.47,1.0,SP
RS147-07,-45.15,146.28,3300.0,4.0,0.55,1.0,SP
RS147-07,-45.15,146.28,3300.0,5.0,0.45,1.0,SP
RS147-07,-45.15,146.28,3300.0,6.0,0.40249999999999997,2.0,SP
RS147-07,-45.15,146.28,3300.0,7.0,0.17333333333333334,3.0,SP
V35-5,7.2,112.08,1953.0,2.0,-0.0035000000000000014,2.0,NP
V35-5,7.2,112.08,1953.0,3.0,0.04533333333333334,3.0,NP
V35-5,7.2,112.08,1953.0,4.0,0.030500000000000003,2.0,NP
V35-5,7.2,112.08,1953.0,5.0,0.141,1.0,NP
V35-5,7.2,112.08,1953.0,6.0,0.102,1.0,NP
V35-5,7.2,112.08,1953.0,7.0,0.003,1.0,NP
Y69-106,2.98,-86.55,2870.0,6.0,0.09,1.0,NP
