lower,Lat,Lon,Ocean_depth,d13C,count,_merge,edgecolor
2.0,-13.08,121.79,1783.0,0.565,4.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
3.0,14.61,52.92,1803.0,-0.16,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
3.0,-13.08,121.79,1783.0,0.61,3.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
4.0,14.61,52.92,1803.0,-0.19,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
4.0,-13.08,121.79,1783.0,0.52,2.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
4.0,-17.53,38.4,1934.0,0.71,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.0,-13.08,121.79,1783.0,0.355,2.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.0,-17.53,38.4,1934.0,0.62,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.0,14.61,52.92,1803.0,-0.06,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.0,-13.08,121.79,1783.0,0.39,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.0,-13.08,121.79,1783.0,0.44,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
2.0,-17.53,38.4,1934.0,,,none,"(1, 0, 0, 0.5)"
3.0,-17.53,38.4,1934.0,,,none,"(1, 0, 0, 0.5)"
6.0,-17.53,38.4,1934.0,,,none,"(1, 0, 0, 0.5)"
7.0,-17.53,38.4,1934.0,,,none,"(1, 0, 0, 0.5)"
2.0,14.61,52.92,1803.0,,,none,"(1, 0, 0, 0.5)"
5.0,14.61,52.92,1803.0,-0.125,,none,"(1, 0, 0, 0.5)"
7.0,14.61,52.92,1803.0,,,none,"(1, 0, 0, 0.5)"
2.0,24.39,58.04,2732.0,0.0375,4.0,"(0, 0, 1, 0.5)","(0, 0, 1, 0.5)"
3.0,24.39,58.04,2732.0,0.11333333333333334,3.0,"(0, 0, 1, 0.5)","(0, 0, 1, 0.5)"
4.0,24.39,58.04,2732.0,0.04666666666666666,3.0,"(0, 0, 1, 0.5)","(0, 0, 1, 0.5)"
5.0,24.39,58.04,2732.0,0.0,1.0,"(0, 0, 1, 0.5)","(0, 0, 1, 0.5)"
5.0,-46.02,96.46,3290.0,0.17,1.0,"(0, 0, 1, 0.5)","(0, 0, 1, 0.5)"
6.0,24.39,58.04,2732.0,-0.05,1.0,"(0, 0, 1, 0.5)","(0, 0, 1, 0.5)"
6.0,-46.02,96.46,3290.0,0.015000000000000001,2.0,"(0, 0, 1, 0.5)","(0, 0, 1, 0.5)"
7.0,24.39,58.04,2732.0,0.05,1.0,"(0, 0, 1, 0.5)","(0, 0, 1, 0.5)"
2.0,-46.02,96.46,3290.0,,,none,"(0, 0, 1, 0.5)"
3.0,-46.02,96.46,3290.0,,,none,"(0, 0, 1, 0.5)"
4.0,-46.02,96.46,3290.0,,,none,"(0, 0, 1, 0.5)"
7.0,-46.02,96.46,3290.0,,,none,"(0, 0, 1, 0.5)"
2.0,-43.52,79.87,3193.0,,,none,"(0, 0, 1, 0.5)"
3.0,-43.52,79.87,3193.0,,,none,"(0, 0, 1, 0.5)"
4.0,-43.52,79.87,3193.0,,,none,"(0, 0, 1, 0.5)"
5.0,-43.52,79.87,3193.0,0.17,,none,"(0, 0, 1, 0.5)"
6.0,-43.52,79.87,3193.0,0.015000000000000001,,none,"(0, 0, 1, 0.5)"
7.0,-43.52,79.87,3193.0,,,none,"(0, 0, 1, 0.5)"
2.0,5.38,90.36,2935.0,0.565,,none,"(0, 0, 1, 0.5)"
3.0,5.38,90.36,2935.0,0.61,,none,"(0, 0, 1, 0.5)"
4.0,5.38,90.36,2935.0,0.52,,none,"(0, 0, 1, 0.5)"
5.0,5.38,90.36,2935.0,0.355,,none,"(0, 0, 1, 0.5)"
6.0,5.38,90.36,2935.0,0.39,,none,"(0, 0, 1, 0.5)"
7.0,5.38,90.36,2935.0,0.44,,none,"(0, 0, 1, 0.5)"
